Date,OrderID,Customer,Region,Channel,Segment,Category,Product,Quantity,UnitPrice,Discount,Sales,Cost,Profit,MarketingSpend,CustomerSince
2025-03-04,ORD-100018,C-4975,EMEA,Organic,Consumer,Home,Beacon Lamp,3,192,0,576,432.99,143.01,0,2023-08-07
2025-03-04,ORD-100019,C-4209,North America,Affiliate,SMB,Wearables,Nimbus Ring,1,245,0,245,178.82,66.18,17.75,2024-10-31
2025-03-04,ORD-100020,C-4500,APAC,Affiliate,SMB,Audio,Halo Headset,3,125,0,375,217.87,157.13,39.21,2025-08-14
2025-03-04,ORD-100021,C-4111,APAC,Affiliate,Consumer,Wearables,Aura Watch,3,329,0.001605839416058394,985.42,537,448.42,106.92,2024-10-13
2025-03-04,ORD-100022,C-4953,APAC,Social,SMB,Audio,Echo Buds,3,79,0.05,225.15,170.65,54.5,15.98,2025-04-03
2025-03-04,ORD-100023,C-4543,EMEA,Organic,Enterprise,Home,Beacon Lamp,6,192,0.12,1013.76,865.98,147.78,0,2023-06-13
2025-03-04,ORD-100024,C-4970,APAC,Paid Search,Consumer,Accessories,Orbit Dock,2,208,0.09043795620437955,378.38,239.93,138.45,41.87,2025-06-27
2025-03-04,ORD-100025,C-4907,North America,Social,Consumer,Wearables,Pulse Band,1,105,0,105,56.39,48.61,8.09,2024-11-20
2025-03-05,ORD-100026,C-4991,North America,Affiliate,Enterprise,Home,Nest Sensor,4,64,0,256,137.11,118.89,26.36,2024-02-16
2025-03-05,ORD-100027,C-4466,North America,Organic,Enterprise,Home,Beacon Lamp,2,192,0.11,341.76,288.66,53.1,0,2024-04-09
2025-03-05,ORD-100028,C-4678,EMEA,Organic,Enterprise,Accessories,Orbit Dock,6,208,0,1248,719.8,528.2,0,2023-03-30
2025-03-05,ORD-100029,C-4210,North America,Email,Consumer,Wearables,Pulse Band,2,105,0,210,112.78,97.22,16.28,2025-03-19
2025-03-05,ORD-100030,C-4216,North America,Social,SMB,Home,Nest Sensor,1,64,0.02,62.72,34.28,28.44,5.63,2024-09-01
2025-03-05,ORD-100031,C-4688,EMEA,Affiliate,Consumer,Accessories,Orbit Dock,2,208,0,416,239.93,176.07,35.39,2023-07-05
2025-03-05,ORD-100032,C-4706,APAC,Social,SMB,Wearables,Aura Watch,2,329,0.0020072992700729928,656.68,358.09,298.59,69.18,2023-03-17
2025-03-06,ORD-100033,C-4474,EMEA,Social,Enterprise,Home,Beacon Lamp,3,192,0,576,432.99,143.01,40.11,2025-07-25
2025-03-06,ORD-100034,C-4674,North America,Paid Search,SMB,Accessories,Shield Case,2,204,0.0006569343065693431,407.73,275.78,131.95,45.25,2024-07-11
2025-03-06,ORD-100035,C-4497,APAC,Email,SMB,Wearables,Nimbus Ring,3,245,0,735,536.46,198.54,67.03,2024-12-10
2025-03-06,ORD-100036,C-4397,APAC,Social,Enterprise,Wearables,Pulse Band,7,105,0,735,394.73,340.27,75.84,2024-04-13
2025-03-06,ORD-100037,C-4192,EMEA,Paid Search,SMB,Accessories,Shield Case,3,204,0.0006569343065693431,611.6,413.67,197.93,67.88,2024-07-26
2025-03-06,ORD-100038,C-4240,North America,Affiliate,SMB,Accessories,Shield Case,1,204,0.01,201.96,137.89,64.07,16.26,2023-12-23
2025-03-06,ORD-100039,C-4687,North America,Paid Search,Enterprise,Home,Nest Sensor,3,64,0.14065693430656936,164.99,102.83,62.16,18.31,2024-08-20
2025-03-07,ORD-100040,C-4497,North America,Social,Enterprise,Audio,Halo Headset,1,125,0,125,72.62,52.38,7.67,2025-04-20
2025-03-07,ORD-100041,C-4619,APAC,Social,Consumer,Accessories,Orbit Dock,2,208,0,416,239.93,176.07,45.75,2023-03-05
2025-03-07,ORD-100042,C-4372,APAC,Social,SMB,Accessories,Flux Cable,2,93,0,186,114.19,71.81,16.48,2024-03-31
2025-03-07,ORD-100043,C-4894,APAC,Organic,Consumer,Accessories,Shield Case,2,204,0.11,363.12,275.78,87.34,0,2023-01-24
2025-03-07,ORD-100044,C-4778,North America,Affiliate,Consumer,Audio,Echo Buds,1,79,0,79,56.88,22.12,5.73,2023-04-08
2025-03-07,ORD-100045,C-4741,APAC,Paid Search,SMB,Audio,Echo Buds,1,79,0.08076642335766424,72.62,56.88,15.74,8.07,2023-05-14
2025-03-08,ORD-100046,C-4538,APAC,Social,Consumer,Wearables,Aura Watch,3,329,0.003211678832116788,983.83,537.55,446.28,99.56,2023-12-09
2025-03-08,ORD-100047,C-4655,North America,Affiliate,Enterprise,Accessories,Orbit Dock,8,208,0.12,1464.32,959.73,504.59,137.09,2025-02-14
2025-03-08,ORD-100048,C-4157,North America,Organic,SMB,Accessories,Flux Cable,2,93,0,186,114.19,71.81,0,2024-10-16
2025-03-08,ORD-100049,C-4470,North America,Affiliate,SMB,Home,Beacon Lamp,2,192,0,384,288.66,95.34,38.16,2024-03-07
2025-03-08,ORD-100050,C-4137,EMEA,Social,SMB,Accessories,Shield Case,1,204,0.14,175.44,137.89,37.55,15.96,2023-10-15
2025-03-08,ORD-100051,C-4863,APAC,Organic,Enterprise,Audio,Halo Headset,1,125,0.13,108.75,72.62,36.13,0,2023-08-13
2025-03-08,ORD-100052,C-4224,North America,Email,Consumer,Accessories,Flux Cable,3,93,0,279,171.28,107.72,20.25,2023-11-12
2025-03-08,ORD-100053,C-4972,North America,Social,Consumer,Wearables,Pulse Band,3,105,0.04,302.4,169.17,133.23,29.81,2024-06-11
2025-03-08,ORD-100054,C-4950,North America,Affiliate,Enterprise,Accessories,Shield Case,9,204,0.08,1689.12,1241.01,448.11,116.53,2025-07-19
2025-03-08,ORD-100055,C-4781,North America,Organic,SMB,Audio,Halo Headset,3,125,0,375,217.87,157.13,0,2025-03-06
2025-03-08,ORD-100056,C-4508,APAC,Social,Enterprise,Wearables,Nimbus Ring,7,245,0,1715,1251.74,463.26,125.31,2023-10-05
2025-03-09,ORD-100057,C-4325,EMEA,Affiliate,SMB,Wearables,Nimbus Ring,3,245,0.14,632.1,536.46,95.64,57.05,2023-10-13
2025-03-09,ORD-100058,C-4106,North America,Paid Search,Enterprise,Wearables,Nimbus Ring,4,245,0.040985401459854014,939.83,715.28,224.55,104.77,2023-05-16
2025-03-09,ORD-100059,C-4628,APAC,Affiliate,Consumer,Accessories,Shield Case,2,204,0,408,275.78,132.22,28.06,2025-02-21
2025-03-09,ORD-100060,C-4158,APAC,Organic,Enterprise,Accessories,Flux Cable,2,93,0,186,114.19,71.81,0,2025-01-20
2025-03-09,ORD-100061,C-4433,EMEA,Email,SMB,Home,Nest Sensor,1,64,0.1,57.6,34.28,23.32,4.86,2023-09-10
2025-03-09,ORD-100062,C-4691,North America,Social,Enterprise,Accessories,Orbit Dock,6,208,0,1248,719.8,528.2,102.52,2023-06-21
2025-03-09,ORD-100063,C-4910,EMEA,Social,SMB,Audio,Echo Buds,2,79,0.06,148.52,113.76,34.76,13.84,2023-03-05
2025-03-10,ORD-100064,C-4245,EMEA,Social,SMB,Wearables,Aura Watch,3,329,0.0040145985401459855,983.04,537.82,445.22,83.04,2023-09-20
2025-03-10,ORD-100065,C-4490,APAC,Email,Enterprise,Audio,Echo Buds,6,79,0,474,341.29,132.71,35.72,2025-05-19
2025-03-10,ORD-100066,C-4986,APAC,Affiliate,Enterprise,Audio,Halo Headset,1,125,0.13,108.75,72.62,36.13,9.43,2024-03-01
2025-03-10,ORD-100067,C-4209,APAC,Paid Search,SMB,Home,Nest Sensor,2,64,0.0610948905109489,120.18,68.56,51.62,13.42,2024-10-01
2025-03-10,ORD-100068,C-4375,EMEA,,Enterprise,Accessories,Shield Case,7,204,0.0610948905109489,1340.76,965.23,375.53,149.69,2024-09-30
2025-03-10,ORD-100069,C-4931,North America,Affiliate,Enterprise,Audio,Echo Buds,9,79,0.01,703.89,511.94,191.95,61.01,2023-10-15
2025-03-10,ORD-100070,C-4957,EMEA,Organic,SMB,Wearables,Aura Watch,2,329,0.0040145985401459855,655.36,358.54,296.82,0,2024-01-03
2025-03-10,ORD-100071,C-4819,APAC,Social,Consumer,Wearables,Aura Watch,3,329,0.014014598540145987,973.17,537.82,435.35,107,2024-02-10
2025-03-10,ORD-100072,C-4448,APAC,Organic,Enterprise,Accessories,Flux Cable,3,93,0,279,171.28,107.72,0,2025-07-09
2025-03-11,ORD-100073,C-4437,North America,Organic,Enterprise,Accessories,Orbit Dock,1,208,0,208,119.97,88.03,0,2023-02-01
2025-03-11,ORD-100074,C-4959,North America,Affiliate,SMB,Audio,Echo Buds,1,79,0,79,56.88,22.12,7.4,2025-08-01
2025-03-11,ORD-100075,C-4576,North America,Paid Search,Consumer,Accessories,Orbit Dock,3,208,0.0012043795620437956,623.25,359.9,263.35,69.68,2024-11-26
2025-03-11,ORD-100076,C-4869,North America,Paid Search,Enterprise,Audio,Halo Headset,1,125,0.0012043795620437956,124.85,72.62,52.23,13.96,2023-01-21
2025-03-11,ORD-100077,C-4754,EMEA,Paid Search,Consumer,Home,Nest Sensor,2,64,0.0012043795620437956,127.85,68.56,59.29,14.29,2025-02-10
2025-03-11,ORD-100078,C-4525,North America,Organic,Enterprise,Wearables,Aura Watch,9,329,0.09441605839416058,2681.43,1613.86,1067.57,0,2023-08-03
2025-03-11,ORD-100079,C-4687,APAC,Paid Search,SMB,Audio,Halo Headset,3,125,0.0012043795620437956,374.55,217.87,156.68,41.88,2023-07-05
2025-03-11,ORD-100080,C-4520,North America,Paid Search,Enterprise,Accessories,Orbit Dock,6,208,0.12120437956204379,1096.74,719.8,376.94,122.62,2025-04-30
2025-03-12,ORD-100081,C-4930,APAC,Email,SMB,Wearables,Nimbus Ring,2,245,0.04,470.4,357.64,112.76,47.34,2023-10-18
2025-03-12,ORD-100082,C-4699,North America,Paid Search,SMB,Accessories,Flux Cable,1,93,0.0013138686131386862,92.88,57.09,35.79,10.4,2023-05-21
2025-03-12,ORD-100083,C-4418,EMEA,Affiliate,Consumer,Audio,Echo Buds,3,79,0,237,170.65,66.35,14.26,2024-03-03
2025-03-12,ORD-100084,C-4557,EMEA,Social,Consumer,Home,Nest Sensor,1,64,0,64,34.28,29.72,4.54,2025-03-30
2025-03-12,ORD-100085,C-4728,EMEA,Paid Search,Consumer,Accessories,Orbit Dock,2,208,0.0013138686131386862,415.45,239.93,175.52,46.52,2024-12-28
2025-03-12,ORD-100086,C-4135,APAC,Paid Search,Consumer,Accessories,Orbit Dock,3,208,0.021313868613138685,610.7,359.9,250.8,68.38,2024-01-20
2025-03-12,ORD-100087,C-4607,EMEA,Paid Search,SMB,Wearables,Nimbus Ring,3,245,0.09131386861313869,667.88,536.46,131.42,74.78,2024-01-06
2025-03-12,ORD-100088,C-4242,EMEA,Social,Consumer,Home,Beacon Lamp,1,192,0,192,144.33,47.67,15.11,2024-02-25
2025-03-12,ORD-100089,C-4126,APAC,Organic,Consumer,Wearables,Nimbus Ring,2,245,0,490,357.64,132.36,0,2025-02-28
2025-03-12,ORD-100090,C-4593,North America,Organic,Enterprise,Home,Nest Sensor,8,64,0,512,274.22,237.78,0,2024-01-13
2025-03-12,ORD-100091,C-4997,EMEA,Affiliate,SMB,Wearables,Nimbus Ring,1,245,0.09,222.95,178.82,44.13,20.32,2024-10-27
2025-03-13,ORD-100092,C-4993,EMEA,Organic,SMB,Accessories,Flux Cable,3,93,0,279,171.28,107.72,0,2023-12-01
2025-03-13,ORD-100093,C-4612,EMEA,Affiliate,Enterprise,Home,Beacon Lamp,8,192,0.04,1474.56,1154.65,319.91,130,2025-06-18
2025-03-13,ORD-100094,C-4781,EMEA,Organic,Enterprise,Wearables,Pulse Band,7,105,0,735,394.73,340.27,0,2025-06-20
2025-03-13,ORD-100095,C-4141,APAC,Paid Search,SMB,Wearables,Nimbus Ring,2,245,0.0014233576642335764,489.3,357.64,131.66,54.87,2024-04-23
2025-03-13,ORD-100096,C-4363,EMEA,Paid Search,SMB,Accessories,Flux Cable,3,93,0.0014233576642335764,278.6,171.28,107.32,31.24,2023-12-12
2025-03-13,ORD-100097,C-4745,APAC,Paid Search,SMB,Home,Vista Hub,3,214,0.0014233576642335764,641.09,454.55,186.54,71.89,2023-02-14
2025-03-13,ORD-100098,C-4677,North America,Paid Search,Enterprise,Accessories,Flux Cable,7,93,0.08142335766423357,597.99,399.66,198.33,67.06,2023-05-05
2025-03-13,ORD-100099,C-4837,North America,Paid Search,Enterprise,Wearables,Pulse Band,7,105,0.02142335766423358,719.25,394.73,324.52,,2023-11-15
2025-03-14,ORD-100100,C-4146,North America,Email,Consumer,Wearables,Nimbus Ring,1,245,0,245,178.82,66.18,18.88,2023-04-21
2025-03-14,ORD-100101,C-4109,EMEA,Affiliate,Enterprise,Accessories,Flux Cable,4,93,0,372,228.38,143.62,22.7,2023-10-03
2025-03-14,ORD-100102,C-4257,APAC,Email,Consumer,Accessories,Orbit Dock,2,208,0.03,403.52,239.93,163.59,42.93,2025-08-26
2025-03-14,ORD-100103,C-4826,APAC,Email,SMB,Accessories,Flux Cable,1,93,0,93,57.09,35.91,8.24,2023-03-09
2025-03-14,ORD-100104,C-4481,EMEA,Affiliate,SMB,Accessories,Flux Cable,1,93,0.08,85.56,57.09,28.47,5.94,2025-09-14
2025-03-14,ORD-100105,C-4730,APAC,Social,SMB,Accessories,Shield Case,1,204,0.01,201.96,137.89,64.07,21.85,2025-05-02
2025-03-14,ORD-100106,C-4749,North America,Social,SMB,Home,Vista Hub,2,214,0.12,376.64,303.03,73.61,23.74,2023-10-21
2025-03-15,ORD-100107,C-4141,EMEA,Affiliate,SMB,Accessories,Orbit Dock,1,208,0,208,119.97,88.03,19.81,2025-04-15
2025-03-15,ORD-100108,C-4219,North America,Affiliate,SMB,Home,Beacon Lamp,1,192,0,192,144.33,47.67,17.37,2025-05-10
2025-03-15,ORD-100109,C-4587,APAC,Organic,SMB,Accessories,Shield Case,1,204,0,204,137.89,66.11,0,2025-04-15
2025-03-15,ORD-100110,C-4630,EMEA,Paid Search,Enterprise,Accessories,Flux Cable,5,93,0.12164233576642336,408.44,285.47,122.97,45.93,2025-05-12
2025-03-15,ORD-100111,C-4590,North America,Organic,Enterprise,Wearables,Nimbus Ring,7,245,0,1715,1251.74,463.26,0,2023-06-20
2025-03-15,ORD-100112,C-4620,APAC,Social,Consumer,Audio,Echo Buds,2,79,0.1,142.2,113.76,28.44,10.3,2025-03-14
2025-03-16,ORD-100113,C-4281,North America,Organic,Enterprise,Accessories,Flux Cable,4,93,0,372,228.38,143.62,0,2024-09-13
2025-03-16,ORD-100114,C-4109,North America,Social,SMB,Accessories,Flux Cable,2,93,0.05,176.7,114.19,62.51,17.53,2025-02-14
2025-03-16,ORD-100115,C-4449,APAC,Email,Enterprise,Audio,Halo Headset,1,125,0,125,72.62,52.38,9.3,2024-09-17
2025-03-16,ORD-100116,C-4617,APAC,Organic,SMB,Accessories,Orbit Dock,1,208,0.1,187.2,119.97,67.23,0,2025-04-02
2025-03-16,ORD-100117,C-4445,APAC,Social,Consumer,Wearables,Nimbus Ring,1,245,0,245,178.82,66.18,22.22,2025-04-20
2025-03-16,ORD-100118,C-4185,APAC,Email,Enterprise,Home,Vista Hub,9,214,0.14,1656.36,1363.66,292.7,150.15,2024-04-04
2025-03-16,ORD-100119,C-4958,North America,Social,SMB,Wearables,Aura Watch,3,329,0.006423357664233576,980.66,538.64,442.02,89.15,2024-08-25
2025-03-16,ORD-100120,C-4924,APAC,Social,Consumer,Accessories,Shield Case,3,204,0.03,593.64,413.67,179.97,39.87,2025-03-29
2025-03-16,ORD-100121,C-4371,EMEA,Social,SMB,Wearables,Nimbus Ring,2,245,0,490,357.64,132.36,33.06,2023-02-28
2025-03-16,ORD-100122,C-4659,APAC,Organic,SMB,Home,Nest Sensor,2,64,0.07,119.04,68.56,50.48,0,2023-09-04
2025-03-17,ORD-100123,C-4775,APAC,Social,Consumer,Accessories,Orbit Dock,1,208,0,208,119.97,88.03,19.6,2024-07-04
2025-03-17,ORD-100124,C-4184,EMEA,Social,Consumer,Accessories,Orbit Dock,3,208,0,624,359.9,264.1,46.95,2023-10-02
2025-03-17,ORD-100125,C-4118,North America,Paid Search,SMB,Accessories,Shield Case,3,204,0.0018613138686131387,610.86,413.67,197.19,68.9,2024-01-16
2025-03-17,ORD-100126,C-4294,North America,Social,SMB,Audio,Echo Buds,1,79,0.05,75.05,56.88,18.17,7.39,2024-10-13
2025-03-17,ORD-100127,C-4490,APAC,Organic,SMB,Home,Vista Hub,3,214,0.08,590.64,454.55,136.09,0,2025-02-08
2025-03-17,ORD-100128,C-4713,APAC,Social,Enterprise,Home,Nest Sensor,5,64,0,320,171.39,148.61,32.3,2024-06-01
2025-03-18,ORD-100129,C-4258,APAC,Paid Search,Enterprise,Wearables,Nimbus Ring,6,245,0.07197080291970803,1364.2,1072.92,291.28,154.09,2024-09-24
2025-03-18,ORD-100130,C-4170,EMEA,Affiliate,SMB,Home,Beacon Lamp,1,192,0.06,180.48,144.33,36.15,14.37,2023-03-30
2025-03-18,ORD-100131,C-4712,APAC,Email,Consumer,Home,Nest Sensor,3,64,0,192,102.83,89.17,12.25,2025-07-21
2025-03-18,ORD-100132,C-4561,APAC,Paid Search,Enterprise,Wearables,Nimbus Ring,4,245,0.001970802919708029,978.07,715.28,262.79,110.48,2024-06-07
2025-03-18,ORD-100133,C-4146,North America,Affiliate,SMB,Audio,Echo Buds,3,79,0,237,170.65,66.35,16.71,2023-07-06
2025-03-18,ORD-100134,C-4941,APAC,Email,Consumer,Accessories,Flux Cable,3,93,0.08,256.68,171.28,85.4,22.86,2023-06-05
2025-03-18,ORD-100135,C-4874,APAC,Social,SMB,Wearables,Nimbus Ring,3,245,0.05,698.25,536.46,161.79,63.11,2023-11-28
2025-03-18,ORD-100136,C-4151,EMEA,Affiliate,Enterprise,Wearables,Pulse Band,2,105,0,210,112.78,97.22,22.26,2025-08-30
2025-03-19,ORD-100137,C-4837,APAC,Email,Consumer,Accessories,Orbit Dock,2,208,0,416,239.93,176.07,32.49,2023-01-12
2025-03-19,ORD-100138,C-4951,EMEA,Paid Search,Enterprise,Home,Beacon Lamp,6,192,0.0020802919708029196,1149.6,865.98,283.62,130.04,2024-06-17
2025-03-19,ORD-100139,C-4781,EMEA,Affiliate,Consumer,Accessories,Orbit Dock,1,208,0,208,119.97,88.03,22.8,2025-02-15
2025-03-19,ORD-100140,C-4923,EMEA,Organic,Enterprise,Home,Nest Sensor,1,64,0.05,60.8,34.28,26.52,0,2025-04-10
2025-03-19,ORD-100141,C-4150,EMEA,Paid Search,SMB,Home,Nest Sensor,2,64,0.0020802919708029196,127.73,68.56,59.17,14.45,2025-07-03
2025-03-19,ORD-100142,C-4967,North America,Affiliate,Consumer,Accessories,Flux Cable,2,93,0.08,171.12,114.19,56.93,10.33,2025-02-10
2025-03-19,ORD-100143,C-4910,APAC,Social,SMB,Wearables,Aura Watch,1,329,0.007627737226277372,326.49,179.69,146.8,27.82,2023-03-24
2025-03-20,ORD-100144,C-4788,APAC,Email,Enterprise,Accessories,Orbit Dock,1,208,0,208,119.97,88.03,15.93,2023-07-31
2025-03-20,ORD-100145,C-4588,EMEA,Organic,Enterprise,Home,Nest Sensor,5,64,0,320,171.39,148.61,0,2024-12-11
2025-03-20,ORD-100146,C-4719,EMEA,Social,SMB,Accessories,Shield Case,3,204,0.09,556.92,413.67,143.25,37.99,2023-06-27
2025-03-20,ORD-100147,C-4359,EMEA,Social,Enterprise,Accessories,Shield Case,2,204,0.1,367.2,275.78,91.42,36.44,2023-03-02
2025-03-20,ORD-100148,C-4926,EMEA,Affiliate,Enterprise,Accessories,Flux Cable,6,93,0.13,485.46,342.57,142.89,39.97,2024-01-03
2025-03-20,ORD-100149,C-4939,EMEA,Affiliate,SMB,Audio,Echo Buds,3,79,0,237,170.65,66.35,23.86,2024-03-13
2025-03-20,ORD-100150,C-4102,North America,Organic,Consumer,Home,Vista Hub,2,214,0,428,303.03,124.97,0,2023-01-25
2025-03-20,ORD-100151,C-4945,North America,Social,Consumer,Home,Nest Sensor,2,64,0.03,124.16,68.56,55.6,10.1,2024-01-04
2025-03-20,ORD-100152,C-4743,North America,Social,Enterprise,Wearables,Aura Watch,2,329,0.028029197080291973,639.56,359.46,280.1,66.46,2023-12-18
2025-03-21,ORD-100153,C-4212,EMEA,Organic,Consumer,Home,Beacon Lamp,3,192,0,576,432.99,143.01,0,2024-08-19
2025-03-21,ORD-100154,C-4304,North America,Social,Consumer,Accessories,Flux Cable,2,93,0,186,114.19,71.81,18.49,2024-11-17
2025-03-21,ORD-100155,C-4330,APAC,Affiliate,Enterprise,Wearables,Aura Watch,4,329,0.06843065693430657,1225.95,719.1,506.85,126.45,2024-03-20
2025-03-21,ORD-100156,C-4508,North America,Affiliate,Enterprise,Home,Beacon Lamp,4,192,0,768,577.32,190.68,47.77,2023-07-24
2025-03-21,ORD-100157,C-4794,EMEA,Organic,Consumer,Home,Nest Sensor,2,64,0,128,68.56,59.44,0,2025-05-13
2025-03-22,ORD-100158,C-4816,North America,Affiliate,Consumer,Audio,Halo Headset,2,125,0.05,237.5,145.24,92.26,20.2,2024-02-01
2025-03-22,ORD-100159,C-4945,North America,Organic,Enterprise,Home,Vista Hub,9,214,0,1926,1363.66,562.34,0,2023-01-22
2025-03-22,ORD-100160,C-4913,North America,Paid Search,Consumer,Wearables,Aura Watch,2,329,0.011240875912408759,650.6,359.64,290.96,73.92,2023-08-20
2025-03-22,ORD-100161,C-4872,APAC,Social,Consumer,Accessories,Shield Case,1,204,0,204,137.89,66.11,16.17,2025-06-02
2025-03-22,ORD-100162,C-4750,EMEA,Social,SMB,Home,Vista Hub,1,214,0.08,196.88,151.52,45.36,20.98,2024-11-25
2025-03-22,ORD-100163,C-4624,North America,Email,Consumer,Accessories,Flux Cable,3,93,0.06,262.26,171.28,90.98,18.3,2023-03-31
2025-03-23,ORD-100164,C-4857,APAC,Paid Search,SMB,Wearables,Aura Watch,1,329,0.011751824817518249,325.13,179.87,145.26,36.99,2023-01-10
2025-03-23,ORD-100165,C-4887,North America,Paid Search,Enterprise,Wearables,Aura Watch,4,329,0.011751824817518249,1300.53,719.46,581.07,147.97,2024-09-04
2025-03-23,ORD-100166,C-4722,North America,Paid Search,SMB,Wearables,Aura Watch,1,329,0.14175182481751825,282.36,179.87,102.49,32.13,2023-07-20
2025-03-23,ORD-100167,C-4326,North America,Organic,Consumer,Audio,Echo Buds,1,79,0.1,71.1,56.88,14.22,0,2024-08-04
2025-03-23,ORD-100168,C-4144,APAC,Affiliate,Enterprise,Wearables,Pulse Band,4,105,0.03,407.4,225.56,181.84,29.96,2023-07-25
2025-03-23,ORD-100169,C-4169,APAC,Email,Enterprise,Wearables,Pulse Band,6,105,0,630,338.34,291.66,49.63,2024-11-15
2025-03-23,ORD-100170,C-4175,North America,Organic,Enterprise,Accessories,Orbit Dock,4,208,0.01,823.68,479.87,343.81,0,2023-06-06
2025-03-23,ORD-100171,C-4394,EMEA,Affiliate,SMB,Wearables,Pulse Band,1,105,0,105,56.39,48.61,6.85,2023-01-07
2025-03-23,ORD-100172,C-4771,APAC,Email,Consumer,Wearables,Aura Watch,3,329,0.15923357664233576,829.84,539.6,290.24,87.93,2024-05-05
2025-03-23,ORD-100173,C-4125,APAC,Paid Search,SMB,Home,Nest Sensor,2,64,0.0025182481751824816,127.68,68.56,59.12,14.53,2023-08-18
2025-03-23,ORD-100174,C-4535,North America,Email,Enterprise,Wearables,Pulse Band,5,105,0,525,281.95,243.05,43.77,2023-11-27
2025-03-24,ORD-100175,C-4511,EMEA,Affiliate,Enterprise,Audio,Halo Headset,9,125,0.08,1035,653.6,381.4,91.07,2024-04-14
2025-03-24,ORD-100176,C-4878,APAC,Organic,Enterprise,Wearables,Nimbus Ring,9,245,0.1,1984.5,1609.39,375.11,0,2023-10-29
2025-03-24,ORD-100177,C-4926,APAC,Paid Search,SMB,Home,Beacon Lamp,2,192,0.0026277372262773725,382.99,288.66,94.33,43.64,2024-01-26
2025-03-24,ORD-100178,C-4314,North America,Social,Consumer,Audio,Echo Buds,2,79,0,158,113.76,44.24,9.53,2025-08-12
2025-03-24,ORD-100179,C-4502,APAC,Social,Enterprise,Wearables,Aura Watch,4,329,0.009635036496350365,1303.32,719.65,583.67,115.2,2023-04-28
2025-03-24,ORD-100180,C-4129,EMEA,Paid Search,Consumer,Wearables,Pulse Band,3,105,0.06262773722627737,295.27,169.17,126.1,33.64,2025-01-01
2025-03-24,ORD-100181,C-4340,North America,Organic,Consumer,Accessories,Shield Case,1,204,0,204,137.89,66.11,0,2023-11-19
2025-03-24,ORD-100182,C-4471,EMEA,Paid Search,SMB,Accessories,Flux Cable,3,93,0.0026277372262773725,278.27,171.28,106.99,31.71,2025-09-09
2025-03-24,ORD-100183,C-4636,North America,Email,Enterprise,Home,Nest Sensor,6,64,0.12,337.92,205.67,132.25,33.82,2024-02-19
2025-03-24,ORD-100184,C-4948,North America,Organic,SMB,Wearables,Aura Watch,1,329,0.14963503649635038,279.77,179.92,99.85,0,2024-06-23
